Name,Team,PER,OWS,DWS
Lauri Markkanen,Chicago Bulls,17.1,1.3,1.5
Jarell Martin,Orlando Magic,9.4,0.1,0.4
Frank Mason III,Sacramento Kings,12.4,0,0.3
Yante Maten,,5.7,0,0
Wesley Matthews,New York Knicks,10.3,1.1,1.5
Luc Mbah a Moute,Los Angeles Clippers,6.7,0,0
Tahjere McCall,Brooklyn Nets,9.6,0,0
Patrick McCaw,Cleveland Cavaliers,7.5,0,0.5
CJ McCollum,Portland Trail Blazers,17,4,1.7
T.J. McConnell,Philadelphia 76ers,13.4,1.2,1.7
Doug McDermott,Indiana Pacers,11.6,1.8,1.1
JaVale McGee,Los Angeles Lakers,21.8,3,2.9
Rodney McGruder,Los Angeles Clippers,9.4,0.4,1.6
Alfonzo McKinnie,Golden State Warriors,11.2,1.2,0.9
Ben McLemore,Sacramento Kings,10.5,0.1,0.1
Jordan McRae,,14.3,0.3,0.2
Jodie Meeks,Milwaukee Bucks,16,0.2,0.1
Salah Mejri,Dallas Mavericks,16.1,0.5,0.6
De'Anthony Melton,Phoenix Suns,9.9,-0.8,0.8
Chimezie Metu,San Antonio Spurs,6.4,-0.5,0.2
Khris Middleton,Milwaukee Bucks,16.5,2.5,3.6
C.J. Miles,Memphis Grizzlies,9,-0.2,0.9
Darius Miller,New Orleans Pelicans,8.4,1.1,0.6
Malcolm Miller,Toronto Raptors,13.7,0.1,0.1
Patty Mills,San Antonio Spurs,13.2,2.2,1.2
Paul Millsap,Denver Nuggets,17.9,3.2,2.9
Shake Milton,,9.3,0.1,0.3
Nikola Mirotic,Milwaukee Bucks,17.2,2,1.4
Donovan Mitchell,Utah Jazz,17.2,1.3,3.7
Naz Mitrou-Long,,2.2,-0.2,0.1
Malik Monk,Charlotte Hornets,11.8,-0.4,0.7
Greg Monroe,Brooklyn Nets,16,0.4,0.7
E'Twaun Moore,New Orleans Pelicans,11.5,1.2,0.5
Eric Moreland,Phoenix Suns,6.7,-0.1,0.1
Marcus Morris,Boston Celtics,14.2,2.1,2.5
Markieff Morris,New Orleans Pelicans,11.7,0.6,1.1
Monte Morris,Denver Nuggets,16.2,4.4,1.8
Donatas Motiejunas,San Antonio Spurs,-0.5,-0.1,0
Johnathan Motley,,18.9,0.1,0.2
Emmanuel Mudiay,New York Knicks,14.6,0.1,0.7
Jamal Murray,Denver Nuggets,16,2.8,2.3
Dzanan Musa,Brooklyn Nets,5.8,-0.2,0
Mike Muscala,Los Angeles Lakers,10.8,1.2,1.2
Sviatoslav Mykhailiuk,Detroit Pistons,6,-0.4,0.3
Abdel Nader,Oklahoma City Thunder,8.8,0,0.9
Larry Nance Jr.,Cleveland Cavaliers,18.6,3.3,1.6
Shabazz Napier,Brooklyn Nets,15.3,1,1
Raul Neto,Utah Jazz,13.5,0.5,0.6
Georges Niang,Utah Jazz,13,0.7,0.7
Joakim Noah,New York Knicks,18.6,1,1.2
Nerlens Noel,Oklahoma City Thunder,19.3,1.9,2.5
Dirk Nowitzki,Dallas Mavericks,9.6,-0.5,0.8
Frank Ntilikina,New York Knicks,6,-1.3,0.4
James Nunnally,Minnesota Timberwolves,7.3,0.1,0
Jusuf Nurkic,Portland Trail Blazers,23.4,4.4,3.3
David Nwaba,Cleveland Cavaliers,12.5,1.1,0.3
Royce O'Neale,Utah Jazz,9,0.7,2.5
Kyle O'Quinn,Indiana Pacers,16.8,0.2,0.8
Semi Ojeleye,Boston Celtics,8.5,0.2,0.5
Jahlil Okafor,New Orleans Pelicans,17.9,1.4,0.8
Elie Okobo,Phoenix Suns,7.6,-0.7,0.2
Josh Okogie,Minnesota Timberwolves,9.4,-0.1,1.4
Victor Oladipo,Indiana Pacers,17.6,0.4,1.9
Kelly Olynyk,Miami Heat,14.4,2.3,2.5
Cedi Osman,Cleveland Cavaliers,11.5,1.2,0.2
Kelly Oubre Jr.,Phoenix Suns,15.2,0.9,1.3
Zaza Pachulia,Detroit Pistons,13.7,1.1,1.3
Jabari Parker,Washington Wizards,15.5,0.1,1.3
Tony Parker,Charlotte Hornets,15.3,0.6,0.3
Chandler Parsons,Memphis Grizzlies,8.5,-0.6,0.6
Patrick Patterson,Oklahoma City Thunder,8.1,0.2,0.9
Justin Patton,Philadelphia 76ers,10.5,0,0
Chris Paul,Houston Rockets,19.7,4.4,2.2
Cameron Payne,Chicago Bulls,11.5,0.1,0.3
Elfrid Payton,New Orleans Pelicans,14,0.6,0.9
Gary Payton II,Washington Wizards,36.9,0.1,0
Theo Pinson,,8.1,-0.2,0.2
Mason Plumlee,Denver Nuggets,17.8,2.9,2.9
Miles Plumlee,Atlanta Hawks,18.9,0.4,0.1
Jakob Poeltl,San Antonio Spurs,19.4,3.5,1.6
Quincy Pondexter,San Antonio Spurs,13.2,0.5,0.3
Otto Porter,Chicago Bulls,15.9,1.8,1.5
Bobby Portis,Washington Wizards,16.1,0.5,1.1
Dwight Powell,Dallas Mavericks,20.4,5.6,1.9
Norman Powell,Toronto Raptors,13.3,1,1.4
Alex Poythress,,12.2,0.4,0.2
Zhou Qi,Houston Rockets,80.4,0,0
Ivan Rabb,Memphis Grizzlies,16.1,1.2,0.9
Chasson Randle,Washington Wizards,9.9,0.4,0.2
Julius Randle,New Orleans Pelicans,21,4.2,1.9
J.J. Redick,Philadelphia 76ers,15.1,4.6,1.2
Davon Reed,Phoenix Suns,8.1,0,0
Cameron Reynolds,Minnesota Timberwolves,10.4,0.3,0.1
Josh Richardson,Miami Heat,14,3,2.6
Malachi Richardson,Philadelphia 76ers,0.9,-0.2,0.1
Austin Rivers,Phoenix Suns,7.7,0.4,0.8
Devin Robinson,,20.6,0.2,0.1
Duncan Robinson,,7.6,0,0.2
Glenn Robinson III,Detroit Pistons,8.7,0.1,0.6
Jerome Robinson,Los Angeles Clippers,7.2,-0.2,0.3
Mitchell Robinson,New York Knicks,22,4,2.2
Rajon Rondo,Los Angeles Lakers,12.1,-0.2,1.5
Derrick Rose,Minnesota Timberwolves,19.5,2.6,0.3
Terrence Ross,Orlando Magic,15.4,1.7,2.6
Terry Rozier,Boston Celtics,12.9,0.9,2.3
Ricky Rubio,Utah Jazz,14,0.9,2.8
D'Angelo Russell,Brooklyn Nets,19.4,2.4,2.6
Domantas Sabonis,Indiana Pacers,21.9,4.3,3.3
Brandon Sampson,,8.5,-0.1,0.1
JaKarr Sampson,Chicago Bulls,22.5,0.3,0.1
Dario Saric,Minnesota Timberwolves,13.1,2.3,1.2
Tomas Satoransky,Washington Wizards,14.1,3.8,0.9
Dennis Schroder,Oklahoma City Thunder,12.7,0.4,2.4
Mike Scott,Philadelphia 76ers,8.6,0.4,1.2
Thabo Sefolosha,Utah Jazz,12.1,0.2,1.2
Wayne Selden,Chicago Bulls,8.3,-1,0.8
Collin Sexton,Cleveland Cavaliers,12,-0.1,-0.5
Landry Shamet,Los Angeles Clippers,11,2.7,0.9
Iman Shumpert,Houston Rockets,9.1,0.1,1.2
Pascal Siakam,Toronto Raptors,18.7,5.7,3.6
Jordan Sibert,Atlanta Hawks,29.7,0,0
Ben Simmons,Philadelphia 76ers,20,4.6,3.6
Jonathon Simmons,Philadelphia 76ers,8.5,-0.8,1.1
Kobi Simmons,Cleveland Cavaliers,0,0,0
Anfernee Simons,Portland Trail Blazers,11.1,0,0
Marcus Smart,Boston Celtics,13.1,2.2,3.1
Dennis Smith Jr.,New York Knicks,12.3,-1.2,1.2
Ish Smith,Detroit Pistons,11.8,0.5,1.1
J.R. Smith,Cleveland Cavaliers,7.8,-0.3,0.1
Jason Smith,New Orleans Pelicans,9.8,0,0.2
Zhaire Smith,Philadelphia 76ers,9.5,0,0.1
Tony Snell,Milwaukee Bucks,10.7,1.6,1.6
Ray Spalding,Dallas Mavericks,14.6,0,0.2
Omari Spellman,Atlanta Hawks,12.4,0.6,0.5
Nik Stauskas,Indiana Pacers,10.9,0.6,0.5
Lance Stephenson,Los Angeles Lakers,11.8,-0.1,1.2
Edmond Sumner,Indiana Pacers,7.6,-0.2,0.3
Caleb Swanigan,Sacramento Kings,4.7,-0.5,0.2
Jayson Tatum,Boston Celtics,15.1,1.6,3.4
Jeff Teague,Minnesota Timberwolves,15.4,1.7,0.5
Garrett Temple,Los Angeles Clippers,8.5,0.3,2
Milos Teodosic,Los Angeles Clippers,6.5,-0.1,0.1
Jared Terrell,,0.7,-0.4,0
Emanuel Terry,Phoenix Suns,19.7,0,0
Daniel Theis,Boston Celtics,17,2.3,1.3
Isaiah Thomas,Denver Nuggets,7,-0.4,0.1
Khyri Thomas,Detroit Pistons,6.2,-0.2,0.2
Lance Thomas,New York Knicks,6.4,-0.3,0.3
Klay Thompson,Golden State Warriors,16.6,2.9,2.3
Tristan Thompson,Cleveland Cavaliers,18.4,2.1,0.5
Sindarius Thornwell,Los Angeles Clippers,5.2,-0.3,0.3
Anthony Tolliver,Minnesota Timberwolves,8.6,0.6,0.5
Karl-Anthony Towns,Minnesota Timberwolves,26.3,7.2,3.2
Gary Trent Jr.,Portland Trail Blazers,3.6,-0.3,0.1
Allonzo Trier,New York Knicks,12.2,0.4,0.5
P.J. Tucker,Houston Rockets,9.2,2,3
Evan Turner,Portland Trail Blazers,11.6,0.5,1.5
Myles Turner,Indiana Pacers,18,1.9,4.4
Ekpe Udoh,Utah Jazz,20.9,0.9,0.7
Jonas Valanciunas,Memphis Grizzlies,24.4,2.2,1.9
Jarred Vanderbilt,Denver Nuggets,12.4,-0.1,0.1
